freq	GDPC1	JAPAN_IP	PCECTPI	CPIAUCSL	UNRATE
01-01-67	4324.926	28.27553786	19.436	32.96666667	3.8
01-04-67	4328.72	29.53222843	19.528	33.16666667	3.8
01-07-67	4366.088	31.03479324	19.708	33.5	3.8
01-10-67	4401.233	32.67395486	19.877	33.86666667	3.9
01-01-68	4490.609	33.41157758	20.087	34.2	3.7
01-04-68	4566.442	34.44971327	20.291	34.53333333	3.6
01-07-68	4599.332	35.37857152	20.502	35	3.5
01-10-68	4619.803	37.07237186	20.729	35.43333333	3.4
01-01-69	4691.637	38.19246563	20.933	35.86666667	3.4
01-04-69	4706.684	39.9955434	21.201	36.43333333	3.4
01-07-69	4736.143	41.17027589	21.462	36.93333333	3.6
01-10-69	4715.469	43.30118599	21.71	37.5	3.6
01-01-70	4707.112	44.85838953	21.962	38.1	4.2
01-04-70	4715.441	46.2516769	22.205	38.63333333	4.8
01-07-70	4757.213	46.82538346	22.421	39.03333333	5.2
01-10-70	4708.281	47.04393835	22.712	39.6	5.8
01-01-71	4834.349	47.45372875	22.927	39.93333333	5.9
01-04-71	4861.938	46.96198027	23.189	40.3	5.9
01-07-71	4899.95	47.69960299	23.417	40.7	6.0
01-10-71	4914.261	47.80888043	23.563	41	5.9
01-01-72	5002.436	48.76505804	23.812	41.33333333	5.8
01-04-72	5118.278	49.83051309	23.95	41.6	5.7
01-07-72	5165.448	51.22380046	24.161	41.93333333	5.6
01-10-72	5251.226	53.70986225	24.358	42.36666667	5.4
01-01-73	5380.502	56.93354676	24.652	43.03333333	4.9
01-04-73	5441.504	58.10827925	25.127	43.93333333	4.9
01-07-73	5411.935	58.90054069	25.584	44.8	4.8
01-10-73	5462.397	60.1299119	26.108	45.93333333	4.8
01-01-74	5417.024	60.07527318	26.884	47.3	5.1
01-04-74	5431.265	57.4526146	27.645	48.56666667	5.2
01-07-74	5378.679	55.15778834	28.392	49.93333333	5.6
01-10-74	5357.166	52.42585232	29.114	51.46666667	6.6
01-01-75	5292.444	48.95629356	29.664	52.56666667	8.3
01-04-75	5333.22	49.66659693	30.03	53.2	8.9
01-07-75	5421.357	50.62277454	30.592	54.26666667	8.5
01-10-75	5494.446	50.86864878	31.105	55.26666667	8.3
01-01-76	5618.52	53.35471056	31.449	55.9	7.7
01-04-76	5660.972	55.29438514	31.711	56.4	7.6
01-07-76	5689.756	56.46911763	32.192	57.3	7.7
01-10-76	5732.462	57.09746292	32.7	58.13333333	7.8
01-01-77	5799.16	57.75312756	33.285	59.2	7.5
01-04-77	5912.977	57.69848884	33.855	60.23333333	7.1
01-07-77	6017.586	57.61653076	34.366	61.06666667	6.9
01-10-77	6018.218	58.43611157	34.859	61.96666667	6.7
01-01-78	6039.158	59.82939894	35.439	63.03333333	6.3
01-04-78	6273.963	60.78557655	36.17	64.46666667	6.0
01-07-78	6335.317	62.17886392	36.806	65.96666667	6.0
01-10-78	6420.288	63.27163833	37.502	67.5	5.9
01-01-79	6433.044	63.81802554	38.205	69.2	5.9
01-04-79	6440.832	65.42986779	39.246	71.4	5.7
01-07-79	6487.08	66.79583581	40.217	73.7	5.9
01-10-79	6503.874	68.16180382	41.187	76.03333333	6.0
01-01-80	6524.912	69.82828479	42.419	79.03333333	6.3
01-04-80	6392.578	70.07415903	43.456	81.7	7.3
01-07-80	6382.892	68.32571998	44.47	83.23333333	7.7
01-10-80	6501.184	68.48963614	45.568	85.56666667	7.4
01-01-81	6635.726	68.84478782	46.749	87.93333333	7.4
01-04-81	6587.269	68.7901491	47.53	89.76666667	7.4
01-07-81	6662.858	70.374672	48.308	92.26666667	7.4
01-10-81	6585.127	71.38548833	49.044	93.76666667	8.2
01-01-82	6474.973	70.72982368	49.66	94.6	8.8
01-04-82	6510.247	69.93756223	50.135	95.96666667	9.4
01-07-82	6486.8	70.32003328	50.925	97.63333333	9.9
01-10-82	6493.128	69.41849439	51.491	97.93333333	10.7
01-01-83	6578.175	70.2380752	51.936	98	10.4
01-04-83	6728.287	71.27621089	52.416	99.13333333	10.1
01-07-83	6860.022	73.0519693	53.106	100.1	9.4
01-10-83	7001.489	74.74576964	53.458	101.1	8.5
01-01-84	7140.597	77.25915078	54.034	102.5333333	7.9
01-04-84	7266.01	78.29728647	54.558	103.5	7.4
01-07-84	7337.493	79.47201896	54.981	104.4	7.4
01-10-84	7396.019	81.22045802	55.323	105.3	7.3
01-01-85	7469.545	81.32973546	55.985	106.2666667	7.2
01-04-85	7537.928	82.23127435	56.456	107.2333333	7.3
01-07-85	7655.196	82.14931626	56.906	107.9	7.2
01-10-85	7712.624	82.17663562	57.296	109	7.0
01-01-86	7784.109	81.93076138	57.706	109.5666667	7.0
01-04-86	7819.843	81.95808074	57.637	109.0333333	7.2
01-07-86	7898.555	81.7122065	57.93	109.7	7.0
01-10-86	7939.45	81.65756778	58.275	110.4666667	6.8
01-01-87	7994.965	82.42250987	58.821	111.8	6.6
01-04-87	8084.71	82.58642603	59.38	113.0666667	6.3
01-07-87	8158.035	85.34568141	59.937	114.2666667	6.0
01-10-87	8292.687	88.15957552	60.463	115.3333333	5.8
01-01-88	8339.324	90.52767099	60.934	116.2333333	5.7
01-04-88	8449.51	91.91077836	61.607	117.5666667	5.5
01-07-88	8498.282	92.99750559	62.366	119	5.5
01-10-88	8610.85	94.41354409	62.99	120.3	5.3
01-01-89	8697.711	97.08096547	63.696	121.6666667	5.2
01-04-89	8766.105	98.06889931	64.543	123.6333333	5.2
01-07-89	8831.544	97.83838141	64.91	124.6	5.2
01-10-89	8850.23	98.26648608	65.417	125.8666667	5.4
01-01-90	8947.129	99.22148879	66.35	128.0333333	5.3
01-04-90	8981.727	101.329081	66.946	129.3	5.3
01-07-90	8983.945	102.9427063	67.787	131.5333333	5.7
01-10-90	8907.363	104.2928825	68.676	133.7666667	6.1
01-01-91	8865.564	104.7539183	69.017	134.7666667	6.6
01-04-91	8934.366	104.3258136	69.384	135.5666667	6.8
01-07-91	8977.252	103.8318467	69.854	136.6	6.9
01-10-91	9016.444	102.6463261	70.355	137.7333333	7.1
01-01-92	9122.95	100.571665	70.788	138.6666667	7.4
01-04-92	9223.545	98.13476156	71.258	139.7333333	7.6
01-07-92	9313.208	97.80545028	71.712	140.8	7.6
01-10-92	9406.528	95.30268455	72.217	142.0333333	7.4
01-01-93	9424.065	95.66492696	72.646	143.0666667	7.1
01-04-93	9480.106	95.5990647	73.136	144.1	7.1
01-07-93	9526.337	94.24888845	73.455	144.7666667	6.8
01-10-93	9653.509	92.99750559	73.877	145.9666667	6.6
01-01-94	9748.156	92.93164333	74.139	146.7	6.6
01-04-94	9881.384	95.07216666	74.552	147.5333333	6.2
01-07-94	9939.655	97.01510321	75.084	148.9	6.0
01-10-94	10052.518	98.23355495	75.437	149.7666667	5.6
01-01-95	10086.878	98.16769269	75.798	150.8666667	5.5
01-04-95	10122.122	99.32028217	76.226	152.1	5.7
01-07-95	10208.772	97.77251915	76.531	152.8666667	5.7
01-10-95	10281.246	99.64959345	76.868	153.7	5.6
01-01-96	10348.691	99.18855766	77.299	155.0666667	5.5
01-04-96	10529.379	99.84718022	77.81	156.4	5.5
01-07-96	10626.778	101.1973565	78.142	157.3	5.3
01-10-96	10739.057	103.2061553	78.671	158.6666667	5.3
01-01-97	10820.908	105.7418521	79.017	159.6333333	5.2
01-04-97	10984.15	105.182023	79.212	160	5.0
01-07-97	11124.013	105.5442654	79.415	160.8	4.9
01-10-97	11210.329	103.0414996	79.662	161.6666667	4.7
01-01-98	11321.246	100.9340962	79.657	162	4.6
01-04-98	11431.046	97.8964079	79.799	162.5333333	4.4
01-07-98	11580.587	96.68823643	80.041	163.3666667	4.5
01-10-98	11770.686	96.03237192	80.244	164.1333333	4.4
01-01-99	11864.675	97.4476585	80.453	164.7333333	4.3
01-04-99	11962.524	97.41313931	80.884	165.9666667	4.3
01-07-99	12113.075	98.82842589	81.31	167.2	4.2
01-10-99	12323.336	100.1746741	81.792	168.4333333	4.1
01-01-00	12359.095	100.7615002	82.476	170.1	4.0
01-04-00	12592.53	103.2814007	82.853	171.4333333	3.9
01-07-00	12607.676	104.0063036	83.368	173	4.0
01-10-00	12679.338	105.2144751	83.829	174.2333333	3.9
01-01-01	12643.283	102.1422676	84.387	175.9	4.2
01-04-01	12710.303	98.89746426	84.79	177.1333333	4.4
01-07-01	12670.106	94.7206429	84.855	177.6333333	4.8
01-10-01	12705.269	92.44237671	84.911	177.5	5.5
01-01-02	12822.258	92.96016448	85.067	178.0666667	5.7
01-04-02	12893.002	95.61814171	85.722	179.4666667	5.8
01-07-02	12955.769	97.30958176	86.155	180.4333333	5.7
01-10-02	12964.016	97.75833116	86.55	181.5	5.9
01-01-03	13031.169	98.96572733	87.161	183.3666667	5.9
01-04-03	13152.089	98.50689906	87.235	183.0666667	6.1
01-07-03	13372.357	99.14219974	87.769	184.4333333	6.1
01-10-03	13528.71	102.0010528	88.124	185.1333333	5.8
01-01-04	13606.509	103.2716541	88.797	186.7	5.7
01-04-04	13706.247	104.7893168	89.421	188.1666667	5.6
01-07-04	13830.828	105.6363844	89.942	189.3666667	5.4
01-10-04	13950.376	103.7304824	90.652	191.4	5.4
01-01-05	14099.081	105.7775623	91.122	192.3666667	5.3
01-04-05	14172.695	105.9893292	91.728	193.6666667	5.1
01-07-05	14291.757	105.6363844	92.734	196.6	5.0
01-10-05	14373.438	106.8011023	93.458	198.4333333	5.0
01-01-06	14546.119	108.2128816	93.89	199.4666667	4.7
01-04-06	14589.585	110.0129002	94.613	201.2666667	4.6
01-07-06	14602.633	111.0364401	95.289	203.1666667	4.6
01-10-06	14716.93	112.2364525	95.125	202.3333333	4.4
01-01-07	14726.022	111.9188022	96.011	204.317	4.5
01-04-07	14838.664	112.6599863	96.774	206.631	4.5
01-07-07	14938.467	114.5305939	97.322	207.939	4.7
01-10-07	14991.784	115.271778	98.298	210.4896667	4.8
01-01-08	14889.45	115.8903425	99.14	212.7696667	5.0
01-04-08	14963.357	114.0571619	100.177	215.5376667	5.3
01-07-08	14891.643	109.924173	101.196	218.861	6.0
01-10-08	14576.985	99.79168403	99.745	213.8486667	6.9
01-01-09	14375.018	80.19331722	99.182	212.3776667	8.3
01-04-09	14355.558	84.15965336	99.627	213.507	9.3
01-07-09	14402.477	88.85926173	100.254	215.344	9.6
01-10-09	14541.901	95.12540622	100.937	217.03	9.9
01-01-10	14604.845	98.79176735	101.282	217.374	9.8
01-04-10	14745.933	99.82501458	101.396	217.2973333	9.6
01-07-10	14845.458	101.2582285	101.696	217.9343333	9.5
01-10-10	14939.001	100.6249479	102.237	219.699	9.5
01-01-11	14881.301	96.95858678	103.002	222.0436667	9.0
01-04-11	14989.555	93.0255812	104.043	224.5683333	9.1
01-07-11	15021.149	99.19173402	104.595	226.0326667	9.0
01-10-11	15190.255	100.2249813	104.956	227.0473333	8.6
01-01-12	15291.035	100.991584	105.563	228.326	8.3
01-04-12	15362.415	98.85842846	105.885	228.808	8.2
01-07-12	15380.802	95.79201733	106.232	229.841	8.0
01-10-12	15384.254	94.25881177	106.804	231.3693333	7.8
01-01-13	15491.878	94.62544788	107.184	232.2993333	7.7
01-04-13	15521.559	96.02533122	107.229	232.045	7.5
01-07-13	15641.336	97.59186734	107.625	233.3	7.2
01-10-13	15793.928	99.32505625	108.089	234.1626667	6.9
01-01-14	15757.57	101.4248813	108.654	235.6083333	6.7
01-04-14	15935.825	98.49179235	109.136	236.8393333	6.2
01-07-14	16139.513	97.12523956	109.456	237.4586667	6.1
01-10-14	16220.222	97.95850346	109.384	236.9196667	5.7
01-01-15	16349.97	98.89175902	108.947	235.3553333	5.6
01-04-15	16460.889	97.6251979	109.41	236.9116667	5.4
01-07-15	16527.587	96.62528123	109.761	237.8163333	5.1
01-10-15	16547.619	96.62528123	109.807	237.8876667	5.0
01-01-16	16571.573	95.79201733	109.985	237.848	4.9
01-04-16	16663.516	96.02533122	110.555	239.452	4.9
01-07-16	16778.148	97.42521457	111.034	240.548	4.9
01-10-16	16851.42	99.12507291	111.583	242.1773333	4.7
01-01-17	16903.24	99.29172569	112.198	243.949	4.7
01-04-17	17031.085	101.3248896	112.273	244.01	4.3
01-07-17	17163.894	101.7248563	112.699	245.2966667	4.3
01-10-17	17271.702	103.4913757	113.458	247.3013333	4.1
